
,NEURAL,ULTRA,PERFORMANCE,PERFORMANCE1080,,Medicao Real,,Erro_Neural,Erro_ultra,Erro_performance,Erro_performance1080
1ª Marcacao,"3,0380","3,0246","3,0247","2,9360",,"3,00",,"0,0380","0,0246","0,0247","-0,0640"
2ª Marcação,"3,3200","3,4334","3,3462","3,4385",,"3,50",,"-0,1800","-0,0666","-0,1538","-0,0615"
3ª Marcação,"4,2580","3,9893","3,8621","4,2935",,"4,00",,"0,2580","-0,0107","-0,1379","0,2935"
4ª Marcação,"4,3720","4,3814","4,2995","4,8656",,"4,50",,"-0,1280","-0,1186","-0,2005","0,3656"
5ª Marcação,"5,0600","4,9565","4,9648","5,3634",,"5,00",,"0,0600","-0,0435","-0,0352","0,3634"
6ª Marcação,"5,5800","5,2602","5,6462","6,1925",,"5,50",,"0,0800","-0,2398","0,1462","0,6925"
7ª Marcação,"6,3500","5,7559","6,3505","6,7776",,"6,00",,"0,3500","-0,2441","0,3505","0,7776"
8ª Marcação,"6,8210","6,2625","6,7403","7,0202",,"6,50",,"0,3210","-0,2375","0,2403","0,5202"
9ª Marcação,"7,2500","7,2582","7,2957","7,9981",,"7,00",,"0,2500","0,2582","0,2957","0,9981"
10ª Marcação,"7,4593","7,7143","7,938","8,2099",,"7,50",,"-0,0407","0,2143","0,4380","0,7099"
11ª Marcação,"8,3700","8,2799","8,2897","8,9756",,"8,00",,"0,3700","0,2799","0,2897","0,9756"
12ª Marcaçao,"8,4200","8,9004","8,4358","9,3750",,"8,50",,"-0,0800","0,4004","-0,0642","0,8750"
